"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"Title/Qualifier"	"FullName"	"Chinese"	"Pinyin"	"University"	"Degree"	"Year"	"Page"	"PDF"
"Engineering"	"Railway Engineering"	"Education"	"R00001"	"N00001"	"Late"	"Jeme Tien Yow"	"詹天佑"	"Zhan Tianyou"	"Yale"			91	114
"Engineering"	"Chemical Engineering"	"Education"	"R00036"	"N00033"		"F. C. Tsu"	"諸鳳章"	"Zhu Fengzhang"	"M.I.T."	"M.S."		95	118
"Engineering"	"Electrical Power Engineering"	"Education"	"R00103"	"N00096"		"T. K. Tse"	"謝作楷"	"Xie Zuokai"	"M.I.T."	"B.S."		102	125
"Engineering"	"Engineering Research"	"Education"	"R00148"	"N00138"		"C. F. Lai"	"賴其芳"	"Lai Qifang"	"Pittsburgh"	"M.S."		105	128
"Engineering"	"Electrical Communication"	"Education"	"R00120"	"N00112"		"T. C. Tsao"	"趙曾珏"	"Zhao Cengjue"	"Harvard"	"M.S."		103	126
"Engineering"	"Architecture"	"Education"	"R00071"	"N00064"		"Shen Chao"	"趙深"	"Zhao Shen"	"Pennsylvania"	"M.Arch."		98	121
"Engineering"	"Municipal Works"	"Education"	"R00088"	"N00081"		"Hsin Chee-Sing"	"邢契辛"	"Xing Qixin"	"M.I.T."	"M.S."		99	122
"Engineering"	"Railway Engineering"	"Education"	"R00008"	"N00007"		"E. K. Denn"	"鄧益光"	"Deng Yiguang"	"Ohio Northern University"	"C.E."		93	116
"Engineering"	"Aeronautical Engineering"	"Education"	"R00050"	"N00045"	"Col."	"C. T. Chien"	"錢昌祚"	"Qian Changzuo"	"M.I.T."	"M.S."		97	120
"Engineering"	"Mechanical Engineering"	"Education"	"R00067"	"N00060"		"Z. P. Zien"	"錢祥標"	"Qian Xiangbiao"	"M.I.T."	"B.S."		98	121
"Engineering"	"Electrical Manufacture"	"Education"	"R00131"	"N00122"		"S. L. Chung"	"鍾兆琳"	"Zhong Zhaolin"	"Cornell"	"M.E.E."		104	127
"Engineering"	"Architecture"	"Education"	"R00068"	"N00061"		"S. S. Kwan"	"關頌聲"	"Guan Songsheng"	"M.I.T."	"M.S."		98	121
"Engineering"	"Engineering Research"	"Education"	"R00138"	"N00128"		"C S. Chen"	"陳中熙"	"Chen Zhongxi"				105	128
"Engineering"	"Mining Engineering"	"Education"	"R00048"	"N00043"		"Chen Ta-Seu"	"陳大受"	"Chen Dashou"	"Columbia"	"M.E."		96	119
"Engineering"	"Architecture"	"Education"	"R00072"	"N00065"		"B. Chih Chen"	"陳植"	"Chen Zhi"	"Pennsylvania"	"M.Arch."		98	121
"Engineering"	"Railway Engineering"	"Education"	"R00009"	"N00008"		"T. Y. Chen"	"陳祖貽"	"Chen Zuyi"	"Cornell"	"M.C.E."		93	116
"Engineering"	"Engineering Research"	"Education"	"R00137"	"N00127"		"M. K. Chen"	"陳茂康"	"Chen Maokang"	"Cornell"	"M.E."		105	128
"Engineering"	"Electrical Manufacture"	"Education"	"R00126"	"N00117"		"F. L. Chen"	"陳輔良"	"Chen Fuliang"				103	126
"Engineering"	"Electrical Power Engineering"	"Education"	"R00106"	"N00099"		"Fountain C. Chen"	"陳長源"	"Chen Changyuan"				102	125
"Engineering"	"Electrical Communication"	"Education"	"R00114"	"N00107"		"F. S. Tao"	"陶鳳山"	"Tao Fengshan"				103	126
"Engineering"	"Electrical Power Engineering"	"Education"	"R00100"	"N00093"		"F. T. Loh"	"陸法會"	"Lu Fahui"				101	124
"Engineering"	"Electrical Communication"	"Education"	"R00111"	"N00104"		"E. F. Wei"	"韋以黻"	"Wei Yifu"	"Cornell"	"M.E."		102	125
"Engineering"	"River Conservancy"	"Education"	"R00019"	"N00018"		"K. Shu"	"須愷"	"Xu Kai"	"California"	"C.E."		94	117
"Engineering"	"Electrical Communication"	"Education"	"R00112"	"N00105"		"K. L. Yuen"	"顏任光"	"Yan Renguang"	"Chicago"	"Ph.D."		102	125
"Engineering"	"Railway Engineering"	"Education"	"R00002"	"N00002"		"T. C. Yen"	"顏德慶"	"Yan Deqing"	"Lehigh"			92	115
"Engineering"	"Engineering Research"	"Education"	"R00139"	"N00129"	"Dr."	"Y. H. Ku"	"顧毓琇"	"Gu Yuxiu"	"M.I.T."	"Ph.D."		105	128
"Engineering"	"Mechanical Engineering"	"Education"	"R00062"	"N00057"		"Yu-Tsuan Ku"	"顧毓瑔"	"Gu Yuquan"	"Cornell"	"M.M.E."		97	120
"Engineering"	"Mechanical Engineering"	"Education"	"R00063"	"N00057"		"Yu-Tsuan Ku"	"顧毓瑔"	"Gu Yuquan"	"Cornell"	"Ph.D."		97	120
"Engineering"	"Naval Construction"	"Education"	"R00089"	"N00082"	"Admiral"	"Palliam T. Mar"	"馬德驥"	"Ma Deji"	"M.I.T."	"M.S."		100	123
"Engineering"	"Electrical Power Engineering"	"Education"	"R00107"	"N00100"		"K. P. Pao"	"鮑國寶"	"Bao Guobao"	"Cornell"	"M.E.E."		102	125
"Engineering"	"Engineering Research"	"Education"	"R00149"	"N00139"	"Prof."	"S. P. Huang"	"黄叔培"	"Huang Shupei"	"Rensselaer Polytechnic Institute"	"Ph.D."		105	128
"Engineering"	"Electrical Power Engineering"	"Education"	"R00104"	"N00097"		"S. Y. Lung"	"龍純如"	"Long Chunru"	"Cornell"	"M.E.E."		102	125
"Engineering"	"Highway Engineering"	"Education"	"R00155"	"N00144"		"Tsu-kong Chao"	"NA"	"NA"	"Cornell"			150	175
"Engineering"	"Highway Engineering"	"Education"	"R00157"	"N00145"		"Hsu Kuen San"	"NA"	"NA"	"Cornell"	"M.E."	1924	150	175
"Engineering"	"Highway Engineering"	"Education"	"R00156"	"N00145"		"Hsu Kuen San"	"NA"	"NA"	"Jiaotong"		1920	150	175
"Engineering"	"Highway Engineering"	"Education"	"R00154"	"N00144"		"Tsu-kong Chao"	"NA"	"NA"	"Jiaotong"			150	175
"Engineering"	"Aeronautical Engineering"	"Education"	"R00059"	"N00054"	"Major"	"C. J. Chu"	"NA"	"NA"	"M.I.T."			97	120
"Engineering"	"Aeronautical Engineering"	"Education"	"R00060"	"N00055"	"Major"	"F. H. Hua"	"NA"	"NA"	"M.I.T."			97	120
"Engineering"	"Engineering Research"	"Education"	"R00142"	"N00132"	"Prof."	"N. Wiener"	"NA"	"NA"	"M.I.T."	"Ph.D."		105	128
"Engineering"	"Aeronautical Engineering"	"Education"	"R00054"	"N00049"	"Lt. Col."	"C. Y. Liu"	"NA"	"NA"	"Michigan"			97	120
"Engineering"	"Aeronautical Engineering"	"Education"	"R00055"	"N00050"	"Lt. Col."	"P. N. Tien"	"NA"	"NA"	"Michigan"			97	120
"Engineering"	"Aeronautical Engineering"	"Education"	"R00056"	"N00051"	"Major"	"M. T. Lee"	"NA"	"NA"	"Michigan"			97	120
"Engineering"	"Aeronautical Engineering"	"Education"	"R00057"	"N00052"	"Major"	"P. L. Li"	"NA"	"NA"	"Michigan"			97	120
"Engineering"	"Aeronautical Engineering"	"Education"	"R00058"	"N00053"	"Major"	"Johnston Tseng"	"NA"	"NA"	"Michigan"			97	120
"Engineering"	"Highway Engineering"	"Education"	"R00158"	"N00146"		"Su-Sun Weng"	"NA"	"NA"				151	176
"Engineering"	"Highway Engineering"	"Education"	"R00159"	"N00147"		"Te-Chen Cheng"	"NA"	"NA"				151	176
"Engineering"	"Highway Engineering"	"Education"	"R00160"	"N00148"		"Pei-Sien Sun"	"NA"	"NA"				151	176
"Engineering"	"Highway Engineering"	"Education"	"R00161"	"N00149"		"Yang-Pu Tseng"	"NA"	"NA"				151	176
"Engineering"	"Highway Engineering"	"Education"	"R00162"	"N00150"		"Te-Kong Hsu"	"NA"	"NA"				151	176
"Engineering"	"Highway Engineering"	"Education"	"R00163"	"N00151"		"Din-Sen Doon"	"NA"	"NA"				151	176
"Engineering"	"Highway Engineering"	"Education"	"R00164"	"N00152"		"Pao-Hwa Reo"	"NA"	"NA"				151	176
"Engineering"	"Highway Engineering"	"Education"	"R00165"	"N00153"		"Chang Hsia-yo"	"NA"	"NA"				152	177
"Engineering"	"Highway Engineering"	"Education"	"R00166"	"N00154"		"Pan Shao-chien"	"NA"	"NA"				152	177
"Engineering"	"Highway Engineering"	"Education"	"R00167"	"N00155"		"Sun Mao"	"NA"	"NA"				152	177
"Engineering"	"Highway Engineering"	"Education"	"R00168"	"N00156"		"Hsu Chen-ping"	"NA"	"NA"				152	177
"Engineering"	"Highway Engineering"	"Education"	"R00169"	"N00157"		"Chow Un-yin"	"NA"	"NA"				152	177
