"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"FullName"	"Chinese"	"Pinyin"	"Organisation"	"Type"	"Sublevel"	"Position"	"Rank"	"Status"	"Year_start"	"Year_end"	"Page"	"PDF"	"other_source"	
"Engineering"	"Engineering Research"	"Position"	"R00211"	"N00137"	"T. H. Shen"	"沈慈暉"	"Shen Cihui"	"Chiao-Tung University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"River Conservancy"	"Position"	"R00048"	"N00021"	"Bazin Shen"	"沈百先"	"Shen Baixian"	"Kiangsu Provincial Government"	"Local government/administration"		"Construction Commissioner"		"Current"			94	117		
"Engineering"	"River Conservancy"	"Position"	"R00049"	"N00021"	"Bazin Shen"	"沈百先"	"Shen Baixian"	"Tai-Hu Conservancy Board"	"Railway/Infrastructure"		"Director"	1	"Current"			94	117		
"Engineering"	"Chemical Engineering"	"Position"	"R00060"	"N00030"	"C. N. Shen"	"沈鎭南"	"Shen Zhennan"	"Kwangsi sugar refinery"	"Factory/mine/station"		"Director"	1	"Current"			95	118		
"Engineering"	"Electrical Communication"	"Position"	"R00176"	"N00111"	"Pinlu Shen"	"沈魯周"	"Shen Luzhou"	"Chekiang Provincial Telephone Administration"	"Local government/administration"		"Engineer"	2	"Past"			103	126		
"Engineering"	"Chemical Engineering"	"Position"	"R00062"	"N00032"	"S. Y. Fung"	"洪紹譽"	"Hong Shaoyu"	"China Chemical Works"	" Ltd."	"Private company"		"Manager"	1	"Current"			95	118	
"Engineering"	"Electrical Communication"	"Position"	"R00167"	"N00106"	"Y. C. Wen"	"温毓慶"	"Wen Yuqing"	"International Radio Station"	"Factory/mine/station"		"Director"	1	"Current"			103	126		
"Engineering"	"Engineering Research"	"Position"	"R00220"	"N00143"	"Li-Chi Pan"	"潘履潔"	"Pan Lüjie"	"Academia Sinica"	"Education/research"		"Researcher"		"Current"						
"Engineering"	"Engineering Research"	"Position"	"R00219"	"N00143"	"Li-Chi Pan"	"潘履潔"	"Pan Lüjie"	"Chung-Hua Chemical Research Laboratory"	"Education/research"		"Researcher"		"Past"			105	128		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00143"	"N00090"	"M. H. Pai"	"潘銘新"	"Pan Mingxin"	"National Construction Commission"	"Central government/administration"	"Electricity Division"	"Director"	1	"Past"			101	124		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00145"	"N00090"	"M. H. Pai"	"潘銘新"	"Pan Mingxin"	"National Construction Commission"	"Central government/administration"	"Capital Electricity Works (Nanking)"	"Director"	1	"Current"			101	124		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00146"	"N00090"	"M. H. Pai"	"潘銘新"	"Pan Mingxin"	"National Construction Commission"	"Central government/administration"	"Engineering department"	"Chief"	1	"Current"			101	124		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00144"	"N00090"	"M. H. Pai"	"潘銘新"	"Pan Mingxin"	"Chekiang Electricity Bureau"	"Local government/administration"		"Director"	1	"Past"			101	124		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00085"	"N00044"	"Tsoo Wong"	"王助"	"Wang Zhu"	"Central Aircraft Manufacturing Works"	"Factory/mine/station"		"Government representative"	1	"Current"			97	120		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00084"	"N00044"	"Tsoo Wong"	"王助"	"Wang Zhu"	"Naval Aircraft Works (Foochow)"	"Factory/mine/station"			2	"Past"			96	119		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00090"	"N00047"	"S. C. Wang"	"王士倬"	"Wang Shizhuo"	"Air Force Technical School"	"Education/research"		"Deputy Commandant"	2	"Current"			97	120		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00089"	"N00047"	"S. C. Wang"	"王士倬"	"Wang Shizhuo"	"Tsing-Hua University"	"Education/research"	"Wind tunnel"	"Designer"		"Past"			97	120		
"Engineering"	"Electrical Communication"	"Position"	"R00162"	"N00103"	"C. C. Wang"	"王崇植"	"Wang Chongzhi"	"National Construction Commission"	"Central government/administration"	"Radio administration"	"Chief engineer"	1	"Current"			102	125		
"Engineering"	"Electrical Communication"	"Position"	"R00164"	"N00103"	"C. C. Wang"	"王崇植"	"Wang Chongzhi"	"International Radio Station"	"Factory/mine/station"				"Past"			102	125		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00088"	"N00046"	"C. F. Wang"	"王承献"	"Wang Chengxian"	"Commission on Aeronautical Affairs"	"Central government/administration"	"Technical Division"	"Chief"		"Current"			97	120		
"Engineering"	"Textile Engineering"	"Position"	"R00142"	"N00089"	"Y. C. Wang"	"王榮吉"	"Wang Rongji"	"Ching-Yuan Silk Weaving Company"	"Private company"		"Manager"	1	"Current"			101	124		
"Engineering"	"Textile Engineering"	"Position"	"R00141"	"N00089"	"Y. C. Wang"	"王榮吉"	"Wang Rongji"	"Mutual Textile Company"	"Private company"		"Manager"	1	"Current"			101	124		
"Engineering"	"Mining Engineering"	"Position"	"R00068"	"N00035"	"C. F. Wang"	"王正频"	"Wang Zhengbin"	"Ministry of Industries"	"Central government/administration"	"Mining division"	"Director"		"Past"			95	118		
